Job Title
Software Engineer
Data Scientist
Product Manager
Cybersecurity Analyst
DevOps Engineer
Cloud Solutions Architect
IT Project Manager
Network Engineer
Database Administrator
Systems Analyst
Full Stack Developer
Front-End Developer
Back-End Developer
Machine Learning Engineer
AI Research Scientist
UXUI Designer
Technical Support Specialist
IT Support Specialist
Information Security Analyst
Site Reliability Engineer
Mobile Application Developer
Data Engineer
Business Intelligence Analyst
IT Manager
Chief Technology Officer (CTO)
Chief Information Officer (CIO)
Software Architect
Quality Assurance Engineer
Scrum Master
Agile Coach
Technical Program Manager
Application Developer
Web Developer
IT Consultant
Security Engineer
Cloud Engineer
Network Administrator
Data Analyst
IT Auditor
Penetration Tester
IT Compliance Analyst
Solutions Architect
Technical Account Manager
IT Business Analyst
Infrastructure Engineer
Release Manager
Platform Engineer
IT Operations Manager
Data Warehouse Developer
IT Trainer
