question_id,user_id,answerd_correctly,time_taken,timeTaken_minmax,difficulty_encoded
1,1,1,10,0.19999999999999996,1
2,2,1,9,0.29999999999999993,1
3,3,1,11,0.5,1
4,4,1,7,0.0,1
5,5,1,10,0.7999999999999998,1
6,6,1,8,0.5,1
7,7,1,12,1.0,2
8,8,1,8,0.6000000000000001,2
9,9,1,7,0.2857142857142858,1
10,10,1,9,0.7142857142857142,1
11,11,1,7,0.75,2
12,12,1,4,0.0,2
13,13,1,4,0.16666666666666663,1
14,14,1,9,0.0,1
15,15,1,8,0.0,1
16,16,1,7,0.40000000000000013,1
17,17,0,13,1.0,2
18,18,1,9,0.25,1
19,19,1,9,0.0,2
20,20,1,6,0.25,1
21,21,1,8,0.19999999999999996,1
22,22,1,10,0.75,1
23,23,1,6,0.0,1
24,24,1,6,0.16666666666666674,1
25,25,1,8,0.33333333333333326,2
26,26,1,5,0.0,1
27,27,1,9,0.8,2
28,28,1,6,0.1428571428571429,1
29,29,1,7,0.2857142857142858,1
30,30,1,6,0.25,1
31,31,1,5,0.1428571428571428,1
32,32,1,6,0.0,1
33,33,1,6,0.16666666666666674,2
34,34,1,6,0.33333333333333337,1
35,35,1,4,0.0,1
36,36,1,5,0.25,2
37,37,1,6,0.6666666666666667,1
38,38,1,4,0.0,1
39,39,1,5,0.0,1
40,40,1,6,1.0,2
41,41,1,6,0.33333333333333337,1
42,42,1,7,1.0,2
43,43,1,3,0.0,1
44,44,1,6,0.6666666666666667,2
45,45,1,6,0.6666666666666667,2
46,46,1,4,0.33333333333333326,1
47,47,1,5,0.33333333333333326,1
48,48,1,5,0.33333333333333326,2
49,49,1,4,0.0,1
50,50,1,6,0.6666666666666667,2
51,51,1,4,0.0,1
52,52,1,5,0.5,2
53,53,1,5,0.5,2
54,54,1,5,0.5,2
55,55,1,4,0.0,1
56,56,1,6,0.5,2
57,57,1,6,1.0,2
58,58,1,5,0.33333333333333326,2
59,59,1,4,0.0,1
60,60,1,6,0.5,2
61,61,1,5,0.33333333333333326,2
62,62,1,5,0.5,2
63,63,1,6,0.6666666666666667,2
64,1,1,8,0.0,1
65,2,1,14,0.8,2
