question_id,question,option_A,option_B,option_C,option_D,correct_option,difficulty_level,category,topic,tags,difficulty_encoded
1,What is the size of int in Java?,"2 bytes,","4 bytes,","8 bytes,","Depends on OS,",B,Easy,Language Specific,"Java,"," Java, Data Types",1
2,What does SQL stand for?,"Structured Question Language,"," Strong Query Language,"," Structured Query Language,","Simple Query Language,",C,Easy,Databases & SQL,"SQL Basics,"," SQL, Databases",1
3,"Which AWS service is used for object storage?,","EC2,","RDS,","S3,","Lambda,",C,Easy,Cloud,"AWS Basics,"," AWS, Cloud",1
4," React is a ____ based library?,","UI,","Database,","Server,"," Security,",A,Easy,Web Development," React,"," React, Frontend",1
5,"Which tag is used for inserting JavaScript into HTML?,","<js>,"," <script>,","<javascript>,","<code>,",B,Easy,Web Development,"JavaScript,","JavaScript, HTML",1
6,"What tag is used to link a CSS file in HTML?,","<css>,",<link>,"<style>,","<script>,",B,Easy,Web Development,"HTML & CSS,","html, css, frontend",1
7," Which command is used to create a virtual environment in Python?,"," pip install env,"," python -m venv myenv,"," python create-env,","venv python,",B,Medium,Language Specific,"Python Environment,","python, venv",2
8,"Which annotation is used for dependency injection in Spring?,","@Service,","@Component,"," @Autowired,","@Injectable,",C,Medium,Object-Oriented Programming (OOP),"Spring Boot,","spring, annotations, di",2
9,"Which of the following is a valid C++ data type?,"," integer,"," bool,","str,"," var,",B,Easy,Language Specific," C++ Basics,","c++, types",1
10,"What does HTML stand for?,","Hyper Text Markup Language,","Home Tool Markup Language,","Hyperlinks and Text Markup Language,","Hyper Tool Multi Language,",A,Easy,Web Development,"HTML Basics,"," html, web, markup",1
11,"Which keyword is used to create a subclass in Java?,"," inherit,"," extends,","implements,","instanceof,",B,Medium,Object-Oriented Programming (OOP),"Inheritance,"," java, inheritance",2
12,"Which method is used to parse a JSON string in JavaScript?,","JSON.stringify(),","JSON.parse(),","parseJSON(),"," toJSON(),",B,Medium,Language Specific,"JavaScript Basics,"," javascript, json",2
13," Which data structure uses LIFO?,","Queue,","Array,"," Stack,"," Linked List,",C,Easy,Data Structures & Algorithms,"Stacks,","stack, lifo",1
14, What does HTML stand for?,Hyper Text Machine Language, High Text Markup Language, Hyper Text Markup Language,Hyperlink and Text Markup Language,C,Easy,Web Development,HTML,"html, markup, frontend",1
15,What keyword is used for inheritance in Java?, implements,inherits,extends,super,C,Easy,Object-Oriented Programming (OOP),Inheritance,"java, oop, inheritance",1
16,Which AWS service is used for compute?,S3,Lambda,EC2, RDS,C,Easy,Cloud,AWS," aws, ec2, cloud",1
17,Which lifecycle method runs after component mounts in React?,componentDidMount, useEffect, render,componentWillMount,A,Medium,Web Development, React," react, lifecycle",2
18,What symbol is used for single-line comment in C++?, //, ##, /*, --,A,Easy,Language Specific,C++,"cpp, comments",1
