iter	RMSE
0	12.10358746
1	9.676851485
2	7.808804156
3	6.519307023
4	5.447573294
5	4.751797392
6	4.219274388
7	3.845045647
8	3.546344522
9	3.335758476
10	3.154264478
11	2.958309225
12	2.846201457
13	2.727022032
14	2.649201061
15	2.553029435
16	2.472299045
17	2.427105792
18	2.392776895
19	2.337000607
20	2.299157553
21	2.238197651
22	2.185442189
23	2.158714201
24	2.137469562
25	2.106748321
26	2.053461291
27	1.999730414
28	1.963620063
29	1.926772443
30	1.880364295
31	1.817880379
32	1.788255738
33	1.757111563
34	1.722883271
35	1.696760709
36	1.667224499
37	1.604987695
38	1.571502303
39	1.544030706
40	1.501371795
41	1.483204058
42	1.466044776
43	1.440308407
44	1.427653074
45	1.408293824
46	1.386465643
47	1.379871904
48	1.356932283
49	1.331311046
50	1.306026887
51	1.288189682
52	1.266070713
53	1.253773955
54	1.237498014
55	1.221972761
56	1.211178669
57	1.192064388
58	1.173650512
59	1.161430165
60	1.144567955
61	1.131411969
62	1.112957614
63	1.095251555
64	1.085008553
65	1.076439011
66	1.061992042
67	1.049736213
68	1.040889484
69	1.030733838
70	1.020097797
71	1.010304506
72	0.998927856
73	0.9870979466
74	0.9787830859
75	0.9703684006
76	0.9653680111
77	0.9558985648
78	0.950084923
79	0.9416571574
80	0.9346255314
81	0.9288142023
82	0.9183080564
83	0.9135168649
84	0.9073317372
85	0.8997450992
86	0.8928086791
87	0.8837695638
88	0.8723068846
89	0.8655798926
90	0.8563281278
91	0.8533559016
92	0.8429637719
93	0.8366941482
94	0.8282389042
95	0.8190187301
96	0.8130588043
97	0.806158925
98	0.8011115298
99	0.7968403526
