iter	Passed	Remaining
0	1	182
1	3	166
2	4	158
3	6	154
4	8	152
5	9	149
6	11	146
7	12	144
8	13	141
9	15	139
10	16	137
11	18	135
12	19	133
13	21	131
14	22	129
15	24	127
16	25	125
17	27	124
18	28	122
19	30	121
20	31	119
21	33	118
22	34	116
23	36	115
24	38	114
25	39	112
26	41	111
27	42	110
28	44	108
29	46	107
30	47	106
31	49	104
32	50	103
33	52	102
34	54	100
35	55	99
36	57	98
37	59	96
38	60	95
39	62	93
40	64	92
41	65	91
42	67	89
43	69	88
44	70	86
45	72	85
46	74	83
47	75	81
48	77	80
49	78	78
50	80	77
51	82	75
52	83	74
53	85	72
54	87	71
55	89	69
56	90	68
57	92	66
58	94	65
59	95	63
60	97	62
61	99	60
62	101	59
63	102	57
64	104	56
65	105	54
66	107	52
67	109	51
68	110	49
69	112	48
70	114	46
71	115	45
72	117	43
73	119	41
74	120	40
75	122	38
76	123	37
77	125	35
78	127	33
79	128	32
80	130	30
81	132	29
82	134	27
83	135	25
84	137	24
85	139	22
86	141	21
87	142	19
88	144	17
89	146	16
90	147	14
91	149	12
92	150	11
93	152	9
94	154	8
95	155	6
96	157	4
97	159	3
98	160	1
99	162	0
